sample_size,num_bootstrap,noise_std,te_diff,plugin_est,correction_est,adj_correction_est,act_plugin_val
100.0,500.0,0.5,0.25,8.559916592100912,8.118399968594503,8.233525809238055,8.75
100.0,500.0,0.5,0.25,8.472281691512936,8.442254957229839,8.446153771544957,8.75
100.0,500.0,0.5,0.25,8.015229753616238,7.774555534677903,7.720192573823424,8.75
100.0,500.0,0.5,0.25,8.66636069943294,8.468888212561813,8.530327375157587,8.75
100.0,500.0,0.5,0.25,9.071583722042412,9.048413238556218,9.035360589705192,8.75
100.0,500.0,0.5,0.25,9.706414623263017,9.668066335769945,9.736861425984081,8.75
100.0,500.0,0.5,0.25,9.36480953704371,9.239687932291924,9.230906652702615,8.75
100.0,500.0,0.5,0.25,8.596273871019802,8.511528420567101,8.56803668619758,8.75
100.0,500.0,0.5,0.25,8.606940755546423,8.28802194609759,8.309264335419059,8.75
100.0,500.0,0.5,0.25,8.731387747622756,8.477929753328814,8.651439092861867,7.75
100.0,500.0,0.5,0.25,9.327296381107628,9.16087332607956,9.14617374836948,8.75
100.0,500.0,0.5,0.25,8.301826251781279,7.827282577026203,8.028607076690573,8.75
100.0,500.0,0.5,0.25,9.21241626721709,9.056496055936828,9.19972732499279,8.75
100.0,500.0,0.5,0.25,8.575760767792296,8.43432234706715,8.545761460836744,8.75
100.0,500.0,0.5,0.25,8.48577238378183,7.997263875765577,7.851458099430582,8.75
100.0,500.0,0.5,0.25,8.712708456118715,8.475460672315332,8.594074314253625,7.75
100.0,500.0,0.5,0.25,9.424674508658937,9.186760040147082,9.239252552490557,8.75
100.0,500.0,0.5,0.25,8.320418403922849,7.957932882985902,7.938036120032263,8.75
100.0,500.0,0.5,0.25,8.573119381191386,8.446537288045096,8.498117059584212,8.75
100.0,500.0,0.5,0.25,9.321916679482023,9.278869370317379,9.282263043042573,8.75
100.0,500.0,0.5,0.25,8.569108454814078,8.181063544626461,8.280450098036246,8.75
100.0,500.0,0.5,0.25,9.61279827997977,9.576990640265702,9.604258119568994,8.75
100.0,500.0,0.5,0.25,8.015126428538258,7.85054377521865,7.901119438464823,8.75
100.0,500.0,0.5,0.25,8.425726103224825,8.126136642565069,8.130803935362511,8.75
100.0,500.0,0.5,0.25,8.05259831439349,7.873602386760921,8.040746377781762,8.75
100.0,500.0,0.5,0.25,8.598676667225327,8.451512237581868,8.563404115215798,8.75
100.0,500.0,0.5,0.25,8.743154866357658,8.488751898318737,8.488100873927488,8.75
100.0,500.0,0.5,0.25,8.529063676270011,8.42343266416858,8.459093266741645,8.75
100.0,500.0,0.5,0.3,8.91810127162757,8.55968326304231,8.735150997346787,9.5
100.0,500.0,0.5,0.3,9.672455880511647,9.517441419933931,9.567612796876997,9.5
100.0,500.0,0.5,0.3,9.75945018534568,9.665135053736462,9.721248681720647,9.5
100.0,500.0,0.5,0.3,10.686288109783703,10.408645349302336,10.430123757155165,9.5
100.0,500.0,0.5,0.3,10.418359174507525,10.34771377871213,10.37842767955224,9.5
100.0,500.0,0.5,0.3,8.917384642422917,8.845781771345202,8.867779488829802,9.5
100.0,500.0,0.5,0.3,10.453683591605095,10.382752172626951,10.387402190199717,9.5
100.0,500.0,0.5,0.3,9.512915467266644,9.454352373209394,9.473585618878497,9.5
100.0,500.0,0.5,0.3,9.162003540772417,8.874692433241886,8.939145254978403,9.5
100.0,500.0,0.5,0.3,9.935872226949543,9.921926926680541,9.90888971994045,9.5
100.0,500.0,0.5,0.3,10.054170370235402,10.03607933230338,10.038202363547743,9.5
100.0,500.0,0.5,0.3,9.711673914816407,9.704290210151102,9.698088384459526,9.5
100.0,500.0,0.5,0.3,8.501917705080052,8.08850423708389,8.192780887570056,9.5
100.0,500.0,0.5,0.3,9.666842043741436,9.649141924308292,9.655486126819863,9.5
